method,seed,eval_index,generation,fitness,best_so_far,n_nodes
random_search,6,471,9,21.07402157263998,17.3295630140987,21
random_search,6,472,9,20.449137674618942,17.3295630140987,21
random_search,6,473,9,21.427105745132007,17.3295630140987,21
random_search,6,474,9,22.016609194718917,17.3295630140987,21
random_search,6,475,9,20.70185121722126,17.3295630140987,21
random_search,6,476,9,21.034387974463897,17.3295630140987,21
random_search,6,477,9,21.160107523773828,17.3295630140987,21
random_search,6,478,9,23.05657137141714,17.3295630140987,21
random_search,6,479,9,23.049666651850536,17.3295630140987,21
random_search,6,480,9,19.714944167960986,17.3295630140987,21
random_search,6,481,9,19.99373774505092,17.3295630140987,21
random_search,6,482,9,20.024845673131658,17.3295630140987,21
random_search,6,483,9,20.754723699099138,17.3295630140987,21
random_search,6,484,9,20.923538406167136,17.3295630140987,21
random_search,6,485,9,20.755294535724687,17.3295630140987,21
random_search,6,486,9,19.40831891575846,17.3295630140987,21
random_search,6,487,9,19.969817807045693,17.3295630140987,21
random_search,6,488,9,20.754065922853805,17.3295630140987,21
random_search,6,489,9,20.667156809750924,17.3295630140987,21
random_search,6,490,9,20.780697580112786,17.3295630140987,21
random_search,6,491,9,21.9377155080899,17.3295630140987,21
random_search,6,492,9,22.642787793912433,17.3295630140987,21
random_search,6,493,9,17.80384048104053,17.3295630140987,21
random_search,6,494,9,21.70199920063936,17.3295630140987,21
random_search,6,495,9,19.735270009440733,17.3295630140987,21
